Month,Sales
1/1/2018,266
2/1/2018,145.9
3/1/2018,183.1
4/1/2018,119.3
5/1/2018,180.3
6/1/2018,168.5
7/1/2018,231.8
8/1/2018,224.5
9/1/2018,192.8
10/1/2018,122.9
11/1/2018,336.5
12/1/2018,185.9
1/1/2019,194.3
2/1/2019,149.5
3/1/2019,210.1
4/1/2019,273.3
5/1/2019,191.4
6/1/2019,287
7/1/2019,226
8/1/2019,303.6
9/1/2019,289.9
10/1/2019,421.6
11/1/2019,264.5
12/1/2019,342.3
1/1/2020,339.7
2/1/2020,440.4
3/1/2020,315.9
4/1/2020,439.3
5/1/2020,401.3
6/1/2020,437.4
7/1/2020,575.5
8/1/2020,407.6
9/1/2020,682
10/1/2020,475.3
11/1/2020,581.3
12/1/2020,646.9
